date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:08:01	13/13	U-----	200	untouched ('OK')	text/plain	date:Tue,%2028%20Jul%202015%2019:42:06%20GMT	http://www.divinumofficium.com/robots.txt		(from )
17:08:02	9670/9670	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Nov%202018%2016:05:35%20GMT	http://www.divinumofficium.com/cgi-bin/horas/officium.pl	C:/Users/RobertJohn/Desktop/Divinum%20Officium/www.divinumofficium.com/cgi-bin/horas/officium.html	(from )
17:08:02	3303/3303	U-----	200	untouched ('')	image/jpeg	date:Mon,%2006%20Nov%202017%2020:04:43%20GMT	http://divinumofficium.com/www/horas/horasbg.jpg	C:/Users/RobertJohn/Desktop/Divinum%20Officium/divinumofficium.com/www/horas/horasbg.jpg	(from http://www.divinumofficium.com/cgi-bin/horas/officium.pl)
17:08:02	182230/182230	U-----	200	untouched ('')	image/gif	date:Sat,%2009%20Sep%202017%2015:00:30%20GMT	http://divinumofficium.com/www/horas/breviarium.gif	C:/Users/RobertJohn/Desktop/Divinum%20Officium/divinumofficium.com/www/horas/breviarium.gif	(from http://www.divinumofficium.com/cgi-bin/horas/officium.pl)
17:08:03	151712/151712	U-----	200	untouched ('')	image/gif	date:Sat,%2009%20Sep%202017%2015:00:30%20GMT	http://divinumofficium.com/www/horas/tempore.gif	C:/Users/RobertJohn/Desktop/Divinum%20Officium/divinumofficium.com/www/horas/tempore.gif	(from http://www.divinumofficium.com/cgi-bin/horas/officium.pl)
17:08:03	54984/54984	U-----	200	untouched ('')	image/gif	date:Sat,%2009%20Sep%202017%2015:00:30%20GMT	http://divinumofficium.com/www/horas/psalterium.gif	C:/Users/RobertJohn/Desktop/Divinum%20Officium/divinumofficium.com/www/horas/psalterium.gif	(from http://www.divinumofficium.com/cgi-bin/horas/officium.pl)
17:08:03	990/990	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Nov%202018%2016:05:36%20GMT	http://www.divinumofficium.com/cgi-bin/horas/popup.pl	C:/Users/RobertJohn/Desktop/Divinum%20Officium/www.divinumofficium.com/cgi-bin/horas/popup.html	(from http://www.divinumofficium.com/cgi-bin/horas/officium.pl)
17:08:03	169106/169106	U-----	200	untouched ('')	image/gif	date:Sat,%2009%20Sep%202017%2015:00:30%20GMT	http://divinumofficium.com/www/horas/sancti.gif	C:/Users/RobertJohn/Desktop/Divinum%20Officium/divinumofficium.com/www/horas/sancti.gif	(from http://www.divinumofficium.com/cgi-bin/horas/officium.pl)
17:08:03	143421/143421	U-----	200	untouched ('')	image/gif	date:Sat,%2009%20Sep%202017%2015:00:30%20GMT	http://divinumofficium.com/www/horas/commune.gif	C:/Users/RobertJohn/Desktop/Divinum%20Officium/divinumofficium.com/www/horas/commune.gif	(from http://www.divinumofficium.com/cgi-bin/horas/officium.pl)
17:08:04	17592/17592	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Nov%202018%2016:05:37%20GMT	http://www.divinumofficium.com/cgi-bin/horas/kalendar.pl	C:/Users/RobertJohn/Desktop/Divinum%20Officium/www.divinumofficium.com/cgi-bin/horas/kalendar.html	(from http://www.divinumofficium.com/cgi-bin/horas/officium.pl)
17:08:04	9953/9953	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Nov%202018%2016:05:38%20GMT	http://www.divinumofficium.com/cgi-bin/horas/Cofficium.pl	C:/Users/RobertJohn/Desktop/Divinum%20Officium/www.divinumofficium.com/cgi-bin/horas/Cofficium.html	(from http://www.divinumofficium.com/cgi-bin/horas/officium.pl)
17:08:06	26313/26313	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Nov%202018%2016:05:39%20GMT	http://www.divinumofficium.com/cgi-bin/horas/Ckalendar.pl	C:/Users/RobertJohn/Desktop/Divinum%20Officium/www.divinumofficium.com/cgi-bin/horas/Ckalendar.html	(from http://www.divinumofficium.com/cgi-bin/horas/Cofficium.pl)
